Parameter,L1 D Cache,L1 I Cache,L2 cache,CPI
./401.bzip2/param4-1_stats.txt,0.9231481581846385,0.9992936230725329,0.14492505009434892,3.671539332846067
./401.bzip2/param3-4_stats.txt,0.9231481581846385,0.9908722287790953,0.3541333576964658,3.514837748516225
./401.bzip2/param5-5_stats.txt,0.7283506175065151,0.9979940691592798,0.7670256651451706,4.407183259281674
./401.bzip2/param5-3_stats.txt,0.7272340372123698,0.9968951315585409,0.7271850577185057,4.835012616498738
./401.bzip2/param1-1_stats.txt,0.9231481581846385,0.9908722287790953,0.2820215309183378,3.7516277248372276
./401.bzip2/param3-2_stats.txt,0.9231481581846385,0.9908722287790953,0.34883285368416245,3.5322427467757254
./401.bzip2/param2-1_stats.txt,0.9231481581846385,0.9908722287790953,0.2820215309183378,3.7516277248372276
./401.bzip2/param3-5_stats.txt,0.9231481581846385,0.9908722287790953,0.3546891416563885,3.513012748698725
./401.bzip2/param5-4_stats.txt,0.6960078169536672,0.9969979561293704,0.6721933691550651,5.8591291140870885
./401.bzip2/param5-2_stats.txt,0.9390550039884834,0.9948821547570185,0.3350155043472974,2.9365958063404194
./401.bzip2/param3-3_stats.txt,0.9231481581846385,0.9908722287790953,0.3527324775783046,3.5194377480562253
./401.bzip2/param2-2_stats.txt,0.9231481581846385,0.9908722287790953,0.3704947238591202,3.4611127538887247
./401.bzip2/param4-3_stats.txt,0.9231481581846385,0.9994370974172218,0.14229472654926728,3.669687533031247
./401.bzip2/param1-5_stats.txt,0.9472450214306537,0.9908722287790953,0.2334903726300597,3.1620903837909617
./401.bzip2/param4-5_stats.txt,0.9231481581846385,0.9994422851026477,0.14213454544122656,3.669797333020267
./401.bzip2/param2-4_stats.txt,0.9231481581846385,0.9908722287790953,0.42067516330912247,3.296337770366223
./401.bzip2/param5-1_stats.txt,0.9231481581846385,0.9908722287790953,0.2820215309183378,3.7516277248372276
./401.bzip2/param1-3_stats.txt,0.9424082201518316,0.9908722287790953,0.2542089252409002,3.2583681741631825
./401.bzip2/param2-3_stats.txt,0.9231481581846385,0.9908722287790953,0.40557306655703257,3.3459277654072235
./401.bzip2/param4-2_stats.txt,0.9231481581846385,0.9994413559649594,0.142210168150636,3.6696495330350465
./401.bzip2/param1-4_stats.txt,0.9460518306336547,0.9908722287790953,0.23183080650297697,3.203289979671002
./401.bzip2/param4-4_stats.txt,0.9231481581846385,0.9994552930302827,0.14186503211340262,3.669711533028847
./401.bzip2/param2-5_stats.txt,0.9231481581846385,0.9908722287790953,0.4341449301843985,3.2521077747892226
./401.bzip2/param3-1_stats.txt,0.9231481581846385,0.9908722287790953,0.33569351179327883,3.575387742461226
./401.bzip2/param1-2_stats.txt,0.9379031618557754,0.9908722287790953,0.25902262162103545,3.381790361820964
