Parameter,L1 D Cache,L1 I Cache,L2 cache,CPI
./458.sjeng/param4-1_stats.txt,0.5855675205347393,0.9998875807037448,0.008641122094978908,18.8578868
./458.sjeng/param3-4_stats.txt,0.5855675205347393,0.999885454050391,0.019384939378890336,18.6854092
./458.sjeng/param5-5_stats.txt,0.8772717138818459,0.9999739668296344,0.2113037940630018,5.3235402
./458.sjeng/param5-3_stats.txt,0.9024174025840315,0.9999645068888535,0.1513999970931116,4.665293800000001
./458.sjeng/param1-1_stats.txt,0.5855675205347393,0.999885454050391,0.00865660235514349,18.8577992
./458.sjeng/param3-2_stats.txt,0.5855675205347393,0.999885454050391,0.019108313947771623,18.6898542
./458.sjeng/param2-1_stats.txt,0.5855675205347393,0.999885454050391,0.012377198845454443,18.7980142
./458.sjeng/param3-5_stats.txt,0.5855675205347393,0.999885454050391,0.019406098579470846,18.6850692
./458.sjeng/param5-4_stats.txt,0.9010665540238914,0.9999727201707718,0.20093041928827748,4.5254636
./458.sjeng/param5-2_stats.txt,0.8692643828209297,0.9999527736289704,0.08319591614527035,6.2563064
./458.sjeng/param3-3_stats.txt,0.5855675205347393,0.999885454050391,0.019395207814466173,18.6852442
./458.sjeng/param2-2_stats.txt,0.5855675205347393,0.999885454050391,0.018923482107406592,18.6928242
./458.sjeng/param4-3_stats.txt,0.5855675205347393,0.9998878007023676,0.008662911908392195,18.85752
./458.sjeng/param1-5_stats.txt,0.5948285382816257,0.999885454050391,0.00038702055282830545,18.5888512
./458.sjeng/param4-5_stats.txt,0.5855675205347393,0.9998872140393734,0.00866475734572027,18.8575348
./458.sjeng/param2-4_stats.txt,0.5855675205347393,0.999885454050391,0.022639722291715673,18.6331092
./458.sjeng/param5-1_stats.txt,0.7815527041083187,0.9999298937721983,0.028977816395714746,10.2414434
./458.sjeng/param1-3_stats.txt,0.5922127974931001,0.999885454050391,0.003413102036350343,18.6545006
./458.sjeng/param2-3_stats.txt,0.5855675205347393,0.999885454050391,0.02180175571578464,18.6465742
./458.sjeng/param4-2_stats.txt,0.5855675205347393,0.9998925673391951,0.00863663732813465,18.857581
./458.sjeng/param1-4_stats.txt,0.5943982583403348,0.999885454050391,0.0008736881562795382,18.5998672
./458.sjeng/param4-4_stats.txt,0.5855675205347393,0.9998872140393734,0.00866662434794947,18.8575048
./458.sjeng/param2-5_stats.txt,0.5855675205347393,0.999885454050391,0.02295244282970702,18.6280842
./458.sjeng/param3-1_stats.txt,0.5855675205347393,0.999885454050391,0.0185065213900848,18.6995242
./458.sjeng/param1-2_stats.txt,0.5889749248074514,0.999885454050391,0.004734382029804331,18.7735532
